State,Pop,Over65,Prop
AL,4779736,651049,0.136210243
AZ,6392017,866734,0.135596323
AR,2915918,413681,0.141869902
CA,37253956,4148055,0.111345356
CO,5029196,533580,0.106096481
CT,3574097,488055,0.136553373
DE,897934,126693,0.141093889
FL,18801310,3195841,0.169979698
GA,9687653,1014814,0.104753339
ID,1567582,187418,0.119558658
IL,12830632,1594473,0.124270808
IN,6483802,828591,0.127794001
IA,3046355,444294,0.14584446
KS,2853118,367546,0.128822572
KY,4339367,570336,0.131432995
LS,4533372,554296,0.122270134
ME,1328361,205617,0.154790001
MD,5773552,694796,0.12034117
MA,6547629,894514,0.136616476
MI,9883640,1339772,0.135554512
MN,5303925,671055,0.126520454
MS,2967297,376913,0.127022337
MO,5988927,822425,0.137324265
MT,989415,141903,0.143421112
NE,1826341,240630,0.131755242
NV,2700551,306843,0.113622368
NH,1316470,179247,0.136157299
NJ,8791894,1173024,0.133421081
NM,2059179,261342,0.12691563
NY,19378102,2619755,0.135191517
NC,9535483,1192025,0.125009399
ND,672591,94870,0.141051545
OH,11536504,1605316,0.139150994
OK,3751351,495962,0.132208903
OR,3831074,516862,0.134913082
PA,12702379,1946266,0.15322059
RI,1052567,150596,0.143074978
SC,4625364,623223,0.134740314
SD,814180,117732,0.144601931
TN,6346105,840953,0.132514826
TX,25145561,2539215,0.100980646
UT,2763885,251159,0.090871726
VT,625741,89911,0.143687244
VA,8001024,960090,0.119995891
WA,6724540,806202,0.119889539
WV,1852994,287557,0.155185068
WI,5686986,761279,0.13386335
WY,563626,66867,0.118637181
