n,State,Year,Month,Temp
1,AL,2008,1,43.7
2,AL,2008,2,49.4866666666667
3,AL,2008,3,55.4866666666667
4,AL,2008,4,63.02
5,AL,2008,5,70.4933333333333
6,AL,2008,6,79.0466666666667
7,AL,2008,7,80.32
8,AL,2008,8,78.6266666666667
9,AL,2008,9,74.5866666666667
10,AL,2008,10,62.5933333333333
11,AL,2008,11,51.3533333333333
12,AL,2008,12,49.82
13,AL,2009,1,45.6866666666667
14,AL,2009,2,48.44
15,AL,2009,3,57.74
16,AL,2009,4,61.7133333333333
17,AL,2009,5,71.2933333333333
18,AL,2009,6,79.82
19,AL,2009,7,78.4133333333333
20,AL,2009,8,78.4066666666667
21,AL,2009,9,75.3133333333333
22,AL,2009,10,63.1933333333333
23,AL,2009,11,53.68
24,AL,2009,12,45.14
25,AL,2010,1,40.3866666666667
26,AL,2010,2,41.08
27,AL,2010,3,51.3666666666667
28,AL,2010,4,63.96
29,AL,2010,5,73.34
30,AL,2010,6,80.84
31,AL,2010,7,82.6133333333333
32,AL,2010,8,83.1666666666667
33,AL,2010,9,76.8466666666667
34,AL,2010,10,64.24
35,AL,2010,11,55.3333333333333
36,AL,2010,12,40.58
37,AL,2011,1,41.52
38,AL,2011,2,49.7
39,AL,2011,3,57.8733333333333
40,AL,2011,4,65.7066666666667
41,AL,2011,5,69.8733333333333
42,AL,2011,6,81.3066666666667
43,AL,2011,7,81.78
44,AL,2011,8,81.8933333333333
45,AL,2011,9,72.2333333333333
46,AL,2011,10,60.9
47,AL,2011,11,55.9666666666667
48,AL,2011,12,-999.9
49,AR,2008,1,37.9466666666667
50,AR,2008,2,42.1666666666667
51,AR,2008,3,51.1
52,AR,2008,4,58.0666666666667
53,AR,2008,5,67.5533333333333
54,AR,2008,6,77.2666666666667
55,AR,2008,7,80.1266666666667
56,AR,2008,8,77.32
57,AR,2008,9,70.5466666666667
58,AR,2008,10,59.68
59,AR,2008,11,48.7533333333333
60,AR,2008,12,40.0666666666667
61,AR,2009,1,36.98
62,AR,2009,2,46.7733333333333
63,AR,2009,3,52.3
64,AR,2009,4,59.0466666666667
65,AR,2009,5,66.8133333333333
66,AR,2009,6,78.5
67,AR,2009,7,77.36
68,AR,2009,8,76.1933333333333
69,AR,2009,9,70.5066666666667
70,AR,2009,10,56.1333333333333
71,AR,2009,11,53.7533333333333
72,AR,2009,12,37.1733333333333
73,AR,2010,1,35.5066666666667
74,AR,2010,2,35.74
75,AR,2010,3,50.3533333333333
76,AR,2010,4,63.2666666666667
77,AR,2010,5,70.56
78,AR,2010,6,81.42
79,AR,2010,7,81.6
80,AR,2010,8,83.92
81,AR,2010,9,74.1533333333333
82,AR,2010,10,62.0933333333333
83,AR,2010,11,51.8466666666667
84,AR,2010,12,38
85,AR,2011,1,36.3533333333333
86,AR,2011,2,42.5866666666667
87,AR,2011,3,51.82
88,AR,2011,4,63.0733333333333
89,AR,2011,5,66.72
90,AR,2011,6,81.4466666666667
91,AR,2011,7,84.94
92,AR,2011,8,82.86
93,AR,2011,9,69.5
94,AR,2011,10,60.52
95,AR,2011,11,52.58
96,AR,2011,12,-999.9
97,AZ,2008,1,41.424
98,AZ,2008,2,46.416
99,AZ,2008,3,53.612
100,AZ,2008,4,59.548
101,AZ,2008,5,65.444
102,AZ,2008,6,78.872
103,AZ,2008,7,81.852
104,AZ,2008,8,80.648
105,AZ,2008,9,74.74
106,AZ,2008,10,64.068
107,AZ,2008,11,54.56
108,AZ,2008,12,43.896
109,AZ,2009,1,46.26
110,AZ,2009,2,47.672
111,AZ,2009,3,54.256
112,AZ,2009,4,58.868
113,AZ,2009,5,72.404
114,AZ,2009,6,74.736
115,AZ,2009,7,84.008
116,AZ,2009,8,80.944
117,AZ,2009,9,75.376
118,AZ,2009,10,60.872
119,AZ,2009,11,54.152
120,AZ,2009,12,40.512
121,AZ,2010,1,43.528
122,AZ,2010,2,46.032
123,AZ,2010,3,50.696
124,AZ,2010,4,57.576
125,AZ,2010,5,64.88
126,AZ,2010,6,77.416
127,AZ,2010,7,83.192
128,AZ,2010,8,80.668
129,AZ,2010,9,76.556
130,AZ,2010,10,64.26
131,AZ,2010,11,49.72
132,AZ,2010,12,48.06
133,AZ,2011,1,42.392
134,AZ,2011,2,43.276
135,AZ,2011,3,54.912
136,AZ,2011,4,60.948
137,AZ,2011,5,65.148
138,AZ,2011,6,77.184
139,AZ,2011,7,82.264
140,AZ,2011,8,83.752
141,AZ,2011,9,76.108
142,AZ,2011,10,64.712
143,AZ,2011,11,50.692
144,AZ,2011,12,-999.9
145,CA,2008,1,43.9833333333333
146,CA,2008,2,48.0722222222222
147,CA,2008,3,52.9740740740741
148,CA,2008,4,56.4018518518518
149,CA,2008,5,63.6222222222222
150,CA,2008,6,70.7740740740741
151,CA,2008,7,75.2
152,CA,2008,8,75.6203703703704
153,CA,2008,9,71.0592592592593
154,CA,2008,10,62.9759259259259
155,CA,2008,11,55.4592592592593
156,CA,2008,12,44.0777777777778
157,CA,2009,1,48.3407407407407
158,CA,2009,2,48.4
159,CA,2009,3,52.3907407407407
160,CA,2009,4,57.1703703703704
161,CA,2009,5,67.0240740740741
162,CA,2009,6,68.5203703703704
163,CA,2009,7,75.9074074074074
164,CA,2009,8,74.3537037037037
165,CA,2009,9,72.9925925925926
166,CA,2009,10,60.1537037037037
167,CA,2009,11,52.5481481481482
168,CA,2009,12,44.4851851851852
169,CA,2010,1,47.75
170,CA,2010,2,50.1925925925926
171,CA,2010,3,52.3055555555556
172,CA,2010,4,53.8481481481482
173,CA,2010,5,59.2907407407407
174,CA,2010,6,69.537037037037
175,CA,2010,7,74.3925925925926
176,CA,2010,8,72.637037037037
177,CA,2010,9,70.2666666666667
178,CA,2010,10,62.5055555555556
179,CA,2010,11,51.5
180,CA,2010,12,48.3314814814815
181,CA,2011,1,46.837037037037
182,CA,2011,2,46.5740740740741
183,CA,2011,3,51.4388888888889
184,CA,2011,4,56.3018518518519
185,CA,2011,5,59.5944444444444
186,CA,2011,6,67.1777777777778
187,CA,2011,7,73.5703703703704
188,CA,2011,8,73.8722222222222
189,CA,2011,9,72.0759259259259
190,CA,2011,10,62.4111111111111
191,CA,2011,11,-27.3111111111111
192,CA,2011,12,-999.9
193,CO,2008,1,20.7583333333333
194,CO,2008,2,27.7166666666667
195,CO,2008,3,35.7833333333333
196,CO,2008,4,43.2625
197,CO,2008,5,53.6791666666667
198,CO,2008,6,63.9375
199,CO,2008,7,70.925
200,CO,2008,8,67.2375
201,CO,2008,9,59.0375
202,CO,2008,10,48.7791666666667
203,CO,2008,11,39.275
204,CO,2008,12,25.7583333333333
205,CO,2009,1,27.0791666666667
206,CO,2009,2,32.7458333333333
207,CO,2009,3,38.7833333333333
208,CO,2009,4,44.0833333333333
209,CO,2009,5,56.5583333333333
210,CO,2009,6,61.8833333333333
211,CO,2009,7,68.5041666666667
212,CO,2009,8,66.0291666666667
213,CO,2009,9,58.8208333333333
214,CO,2009,10,42.1291666666667
215,CO,2009,11,38.3125
216,CO,2009,12,20.1625
217,CO,2010,1,25.0125
218,CO,2010,2,24.75
219,CO,2010,3,36.2541666666667
220,CO,2010,4,46.0166666666667
221,CO,2010,5,52.4708333333333
222,CO,2010,6,65.8166666666667
223,CO,2010,7,70.2
224,CO,2010,8,68.3875
225,CO,2010,9,62.5125
226,CO,2010,10,50.425
227,CO,2010,11,35.2083333333333
228,CO,2010,12,31.1958333333333
229,CO,2011,1,23.4583333333333
230,CO,2011,2,25
231,CO,2011,3,39.3791666666667
232,CO,2011,4,45.6625
233,CO,2011,5,51.7708333333333
234,CO,2011,6,65.2416666666667
235,CO,2011,7,71.975
236,CO,2011,8,71.1125
237,CO,2011,9,59.9916666666667
238,CO,2011,10,48.9875
239,CO,2011,11,36.3583333333333
240,CO,2011,12,-999.9
241,CT,2008,1,30.4
242,CT,2008,2,30.4
243,CT,2008,3,37.075
244,CT,2008,4,49.95
245,CT,2008,5,54.725
246,CT,2008,6,68.425
247,CT,2008,7,73.1
248,CT,2008,8,67.825
249,CT,2008,9,63.775
250,CT,2008,10,50.5
251,CT,2008,11,41.25
252,CT,2008,12,32.875
253,CT,2009,1,21.25
254,CT,2009,2,30.3
255,CT,2009,3,37.025
256,CT,2009,4,49.6
257,CT,2009,5,57.55
258,CT,2009,6,63.775
259,CT,2009,7,68.4
260,CT,2009,8,71.425
261,CT,2009,9,61.225
262,CT,2009,10,49.475
263,CT,2009,11,46.725
264,CT,2009,12,31.225
265,CT,2010,1,27.025
266,CT,2010,2,29.325
267,CT,2010,3,42.975
268,CT,2010,4,51.9
269,CT,2010,5,60.725
270,CT,2010,6,68.725
271,CT,2010,7,74.825
272,CT,2010,8,70.475
273,CT,2010,9,65.4
274,CT,2010,10,52.875
275,CT,2010,11,41.95
276,CT,2010,12,28.175
277,CT,2011,1,23.375
278,CT,2011,2,26.875
279,CT,2011,3,36.575
280,CT,2011,4,48.575
281,CT,2011,5,59.35
282,CT,2011,6,66.75
283,CT,2011,7,73.625
284,CT,2011,8,70.45
285,CT,2011,9,65.85
286,CT,2011,10,53.2
287,CT,2011,11,45.925
288,CT,2011,12,-999.9
289,DE,2008,1,36.04
290,DE,2008,2,37.88
291,DE,2008,3,44.88
292,DE,2008,4,54.9
293,DE,2008,5,60
294,DE,2008,6,74.98
295,DE,2008,7,77.26
296,DE,2008,8,73.14
297,DE,2008,9,69.14
298,DE,2008,10,55.44
299,DE,2008,11,44.9
300,DE,2008,12,39.6
301,DE,2009,1,29.66
302,DE,2009,2,37.48
303,DE,2009,3,43
304,DE,2009,4,54.06
305,DE,2009,5,63.5
306,DE,2009,6,70.28
307,DE,2009,7,74.02
308,DE,2009,8,76.64
309,DE,2009,9,66.44
310,DE,2009,10,55.64
311,DE,2009,11,50.24
312,DE,2009,12,36.12
313,DE,2010,1,32.6
314,DE,2010,2,30.56
315,DE,2010,3,48.12
316,DE,2010,4,57.18
317,DE,2010,5,66.12
318,DE,2010,6,76.86
319,DE,2010,7,79.84
320,DE,2010,8,76.88
321,DE,2010,9,71.28
322,DE,2010,10,57.94
